order_id,order_date,customer_id,country,product_category,marketing_channel,price,quantity,delivery_days,returned,revenue
1,2023-11-29,4969,USA,Electronics,Organic,105.52,4,8,0,422.08
2,2024-08-06,2324,Canada,Home,Organic,788.15,2,9,0,1576.3
3,2025-04-30,7564,India,Beauty,Organic,82.82,4,2,0,331.28
4,2024-09-13,4954,Brazil,Sports,Google Ads,1052.64,2,6,0,2105.28
5,2024-11-19,1376,Germany,Clothing,Facebook Ads,863.3,4,1,0,3453.2
6,2024-09-29,2746,France,Clothing,TikTok Ads,1238.84,3,9,0,3716.5199999999995
7,2025-06-19,8390,UK,Sports,TikTok Ads,162.03,4,5,0,648.12
8,2024-06-30,2861,India,Beauty,Organic,356.37,1,3,0,356.37
9,2023-05-21,9750,Brazil,Sports,Organic,766.66,4,8,0,3066.64
10,2025-11-27,2711,Germany,Home,Email,519.7,1,6,0,519.7
11,2024-02-13,4191,Canada,Clothing,TikTok Ads,605.38,3,5,0,1816.1399999999999
12,2024-05-19,8268,France,Clothing,TikTok Ads,588.49,2,9,0,1176.98
13,2024-10-19,7761,UAE,Beauty,TikTok Ads,1101.87,2,4,0,2203.74
14,2024-11-14,4932,India,Beauty,Facebook Ads,288.76,1,7,0,288.76
15,2023-08-31,7023,USA,Sports,Organic,684.72,1,5,0,684.72
16,2025-11-13,5231,USA,Clothing,Google Ads,1472.71,3,7,0,4418.13
17,2025-04-18,6138,UK,Clothing,Google Ads,1266.81,4,8,0,5067.24
18,2024-03-17,6383,UAE,Home,Google Ads,699.11,1,3,0,699.11
19,2025-11-17,5585,USA,Electronics,TikTok Ads,39.69,1,5,0,39.69
20,2025-03-23,7635,Brazil,Sports,Organic,1480.75,3,5,0,4442.25
21,2024-03-15,4951,Canada,Sports,Organic,206.85,3,8,0,620.55
22,2023-12-02,1450,USA,Clothing,Facebook Ads,381.08,1,8,0,381.08
23,2025-08-18,7803,UAE,Electronics,Organic,284.2,2,2,0,568.4
24,2024-05-11,9362,France,Sports,TikTok Ads,470.14,2,8,0,940.28
25,2023-09-06,7752,Canada,Home,Organic,783.95,2,2,0,1567.9
26,2023-05-14,7918,UK,Beauty,TikTok Ads,1353.96,4,7,0,5415.84
27,2023-08-16,2043,Germany,Clothing,Google Ads,522.5,3,4,0,1567.5
28,2023-01-02,6048,UAE,Clothing,TikTok Ads,1158.96,1,2,0,1158.96
29,2024-12-28,8712,UK,Sports,Email,678.76,4,4,0,2715.04
30,2023-04-25,8884,Germany,Electronics,TikTok Ads,1382.9,1,8,0,1382.9
31,2023-10-03,3365,USA,Beauty,Email,544.06,1,7,0,544.06
32,2025-06-04,2590,Germany,Clothing,Facebook Ads,432.31,3,4,0,1296.93
33,2025-07-23,7773,Germany,Sports,Facebook Ads,898.39,1,9,0,898.39
34,2025-12-03,6634,Germany,Clothing,Email,1097.93,2,6,0,2195.86
35,2023-01-19,6899,India,Beauty,TikTok Ads,1011.65,2,2,0,2023.3
36,2024-05-24,3024,India,Sports,TikTok Ads,152.33,3,8,0,456.99
37,2023-02-18,5445,UK,Sports,TikTok Ads,172.83,1,2,0,172.83
38,2023-10-31,9416,Canada,Beauty,TikTok Ads,1241.87,2,4,0,2483.74
39,2023-04-21,1606,UAE,Electronics,TikTok Ads,535.3,3,5,0,1605.8999999999999
40,2023-06-10,3144,France,Clothing,Facebook Ads,574.87,4,7,0,2299.48
41,2025-11-30,9241,Brazil,Electronics,Organic,209.74,2,6,0,419.48
42,2023-09-22,7595,Germany,Clothing,Email,702.21,2,4,0,1404.42
43,2024-03-28,5679,France,Clothing,Facebook Ads,1214.14,2,5,0,2428.28
44,2025-07-18,6392,France,Beauty,Email,443.69,1,5,0,443.69
45,2024-01-21,4147,Canada,Sports,Organic,1077.03,3,1,0,3231.09
46,2025-09-18,6273,Brazil,Clothing,Google Ads,338.38,2,4,0,676.76
47,2024-02-23,4810,France,Home,TikTok Ads,890.91,2,4,0,1781.82
48,2023-01-20,3805,France,Home,TikTok Ads,1380.74,1,4,0,1380.74
49,2023-08-13,1255,India,Clothing,Facebook Ads,865.28,2,8,0,1730.56
50,2023-12-05,7676,India,Electronics,Email,693.99,4,6,0,2775.96
51,2024-03-19,7543,India,Sports,Google Ads,191.72,2,6,1,383.44
52,2024-05-08,8564,Canada,Electronics,TikTok Ads,924.51,2,8,0,1849.02
53,2025-04-20,3490,Canada,Home,Email,1333.28,2,9,0,2666.56
54,2025-11-28,9729,India,Sports,Facebook Ads,48.69,2,3,0,97.38
55,2023-04-30,8982,India,Sports,Email,51.25,3,3,0,153.75
56,2025-01-26,3813,UK,Home,Email,886.34,2,3,0,1772.68
57,2025-05-18,7020,Brazil,Beauty,TikTok Ads,1153.36,2,4,0,2306.72
58,2025-07-13,7070,Germany,Sports,Email,992.96,1,2,0,992.96
59,2023-07-05,6905,India,Beauty,Email,1257.87,2,5,0,2515.74
60,2023-11-18,5624,France,Sports,TikTok Ads,316.57,4,3,0,1266.28
61,2023-04-01,7959,Brazil,Home,Organic,613.86,4,1,0,2455.44
62,2024-09-22,1029,Canada,Electronics,Facebook Ads,1451.76,3,4,1,4355.28
