student_id,name,grade,subject,teacher,score,attendance_percentage,exam_date,gpa,status,remarks
1001,Student_1,11th,Computer Science,Teacher_19,44,85,2024-12-07,2.36,Pass,Poor
1002,Student_2,12th,Science,Teacher_25,84,81,2024-03-12,3.53,Pass,Good
1003,Student_3,9th,Chemistry,Teacher_5,64,87,2024-01-27,2.68,Pass,Average
1004,Student_4,11th,History,Teacher_8,84,60,2024-06-03,2.35,Pass,Good
1005,Student_5,11th,Physics,Teacher_7,43,95,2024-05-19,2.84,Pass,Average
1006,Student_6,12th,Physics,Teacher_14,78,96,2024-05-08,3.59,Pass,Good
1007,Student_7,9th,Science,Teacher_24,36,61,2024-03-26,2.93,Pass,Excellent
1008,Student_8,9th,Mathematics,Teacher_23,59,76,2024-03-07,3.08,Pass,Excellent
1009,Student_9,11th,History,Teacher_3,78,99,2024-12-26,3.99,Fail,Average
1010,Student_10,10th,Physics,Teacher_18,45,97,2024-10-20,2.8,Pass,Good
1011,Student_11,11th,Science,Teacher_16,80,80,2024-02-28,3.23,Pass,Poor
1012,Student_12,11th,Computer Science,Teacher_23,71,68,2024-11-12,2.73,Pass,Average
1013,Student_13,11th,Physics,Teacher_19,46,72,2024-08-18,2.79,Fail,Excellent
1014,Student_14,11th,Biology,Teacher_19,92,70,2024-01-31,3.39,Pass,Average
1015,Student_15,12th,History,Teacher_18,74,75,2024-01-30,3.88,Pass,Good
1016,Student_16,9th,History,Teacher_20,36,75,2024-03-02,3.08,Pass,Poor
1017,Student_17,12th,Biology,Teacher_16,56,61,2024-05-05,3.54,Pass,Poor
1018,Student_18,12th,English,Teacher_8,39,67,2024-05-13,2.18,Pass,Average
1019,Student_19,12th,Computer Science,Teacher_28,63,72,2024-09-29,2.42,Fail,Good
1020,Student_20,11th,Biology,Teacher_1,65,76,2024-11-18,3.0,Pass,Good
1021,Student_21,10th,Chemistry,Teacher_17,54,98,2024-01-28,2.04,Pass,Poor
1022,Student_22,9th,Chemistry,Teacher_12,35,83,2024-10-28,2.51,Pass,Excellent
1023,Student_23,10th,Science,Teacher_30,53,62,2024-04-25,3.03,Pass,Good
1024,Student_24,12th,History,Teacher_21,47,89,2024-12-12,2.03,Pass,Poor
1025,Student_25,12th,English,Teacher_11,35,72,2025-01-08,2.53,Fail,Poor
1026,Student_26,10th,English,Teacher_5,58,78,2024-10-20,3.03,Pass,Good
1027,Student_27,10th,Physics,Teacher_27,54,66,2024-08-16,3.15,Fail,Good
1028,Student_28,10th,Physics,Teacher_12,84,68,2024-05-06,3.85,Pass,Average
1029,Student_29,12th,Biology,Teacher_17,75,78,2024-08-31,3.29,Pass,Excellent
1030,Student_30,12th,English,Teacher_6,53,99,2024-11-11,2.83,Pass,Average
1031,Student_31,9th,Biology,Teacher_1,55,81,2024-06-05,3.86,Pass,Average
1032,Student_32,9th,Computer Science,Teacher_5,57,77,2024-01-18,3.57,Pass,Poor
1033,Student_33,12th,Biology,Teacher_25,32,82,2024-04-05,2.4,Pass,Poor
1034,Student_34,10th,Physics,Teacher_28,67,61,2025-01-06,2.26,Pass,Excellent
1035,Student_35,10th,History,Teacher_14,90,70,2024-08-18,3.35,Pass,Average
1036,Student_36,9th,Biology,Teacher_5,80,90,2024-07-07,3.12,Pass,Average
1037,Student_37,12th,Mathematics,Teacher_22,77,92,2024-06-05,3.58,Pass,Poor
1038,Student_38,9th,History,Teacher_24,50,73,2024-04-03,3.48,Pass,Poor
1039,Student_39,9th,English,Teacher_27,83,75,2024-05-04,3.25,Pass,Good
1040,Student_40,11th,English,Teacher_1,85,70,2024-07-05,3.97,Pass,Average
1041,Student_41,11th,Biology,Teacher_30,88,92,2024-03-07,3.07,Pass,Excellent
1042,Student_42,11th,History,Teacher_18,80,66,2024-03-02,2.23,Pass,Average
1043,Student_43,10th,Physics,Teacher_16,49,90,2024-07-27,3.66,Pass,Poor
1044,Student_44,12th,Physics,Teacher_9,88,73,2024-03-04,2.5,Pass,Good
1045,Student_45,12th,Chemistry,Teacher_19,38,87,2024-07-16,3.55,Pass,Average
1046,Student_46,12th,English,Teacher_22,30,75,2024-07-09,3.91,Pass,Excellent
1047,Student_47,12th,Science,Teacher_5,58,78,2024-11-19,3.39,Pass,Poor
1048,Student_48,11th,Chemistry,Teacher_27,92,76,2024-05-29,3.19,Pass,Good
1049,Student_49,10th,Physics,Teacher_2,85,85,2024-02-06,2.92,Fail,Average
1050,Student_50,10th,History,Teacher_30,97,65,2024-09-06,2.73,Pass,Excellent
1051,Student_51,11th,Computer Science,Teacher_15,64,68,2024-10-15,2.71,Pass,Poor
1052,Student_52,10th,Physics,Teacher_7,32,76,2024-03-18,3.27,Pass,Excellent
1053,Student_53,11th,History,Teacher_4,36,90,2024-07-26,3.5,Pass,Average
1054,Student_54,12th,Chemistry,Teacher_1,56,71,2024-02-24,3.36,Pass,Poor
1055,Student_55,11th,English,Teacher_13,30,82,2024-10-23,2.4,Pass,Average
1056,Student_56,12th,Physics,Teacher_20,73,64,2024-06-13,2.99,Fail,Good
1057,Student_57,12th,Biology,Teacher_22,70,95,2024-12-01,3.58,Pass,Average
